Song Metadata ,Model Rec 1,Song URL,Annotation ,Model Rec 2,Song URL,Annotation ,Model Rec 3,Song URL,Annotation ,Model Rec 4,Song URL,Annotation ,Model Rec 5,Song URL,Annotation ,,% Liked Per Song
MODEL 1: KNN,,,,,,,,,,,,,,,,,
Daft Punk - Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Foster The People - Pumped Up Kicks,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,0,DNCE - Cake By The Ocean,https://open.spotify.com/track/76hfruVvmfQbw0eYn1nmeC,0,"Regard, RAYE - Secrets",https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg,0,The Weeknd - In Your Eyes,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,1,Maroon 5 - This Love,https://open.spotify.com/track/6ECp64rv50XVz93WvxXMGF,1,,0.4
Billie Eilish - Happier Than Ever,Olivia Rodrigo - traitor,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,1,Post Malone - Feeling Whitney,https://open.spotify.com/track/35r28RDot7nPE7y9K9H7l0,0,"Taylor Swift, Bon Iver - exile (feat. Bon Iver)",https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,1,Clinton Kane - I GUESS I'M IN LOVE,https://open.spotify.com/track/1dB1kzLOjTcmSHttRd8bnV,1,Ed Sheeran - Happier,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,0,,0.6
XXXTENTACION - Revenge,"The Kid LAROI, Lil Tjay - Fade Away",https://open.spotify.com/track/32ypPhtgTaETvFn3ZIHXTW,1,Tiësto - The Business,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,0,ilyTOMMY - Forever,https://open.spotify.com/track/2GvOVIdVAi69jpCvRTxWg6,0,Billie Eilish - bury a friend,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,1,Billie Eilish - my boy,https://open.spotify.com/track/1RGasjWLZ4qMN7wbtkLa3u,0,,0.4
Billie Eilish - idontwannabeyouanymore,Madison Beer - Reckless,https://open.spotify.com/track/1Dq5By1yUrOB0zSxhCc5v8,1,Vilen - Chidiya,https://open.spotify.com/track/0aoN9BQostK81IFddJn8Ej,0,James Arthur - Falling Like The Stars,https://open.spotify.com/track/395KzBy0bkb57dEvg6cfzJ,1,Olivia Rodrigo - happier,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl,1,Khalid - Saturday Nights,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,0,,0.6
"Fall Out Boy - Sugar, We're Goin Down",Kelly Clarkson - Underneath the Tree,https://open.spotify.com/track/3YZE5qDV7u1ZD1gZc47ZeR,0,Demi Lovato - Heart Attack,https://open.spotify.com/track/1V6gIisPpYqgFeWbMLI0bA,0,"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends - POP/STARS",https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ,1,Avril Lavigne - Girlfriend,https://open.spotify.com/track/45hOioMDJktr86iKDHC8gr,0,Lil Peep - Sex with My Ex,https://open.spotify.com/track/0H1Had94fszD13qsFsP1U5,0,,0.2
"NF, Fleurie - Mansion",Canserbero - Pensando en Ti,https://open.spotify.com/track/2auNjgM4xIOANxtZT4Xe9z,0,Porta - La Bella Y La Bestia (Con Norykko),https://open.spotify.com/track/3bHzzuRc2vU97FhJ0ohSKf,0,Drake - 0 To 100 / The Catch Up,https://open.spotify.com/track/4jtyUzZm9WLc2AdaJ1dso7,1,50 Cent - Best Friend,https://open.spotify.com/track/1wI3UvluGGKUeFeVFsP9do,1,"T-Pain, Lily Allen, Wiz Khalifa - 5 O'Clock (feat. Lily Allen & Wiz Khalifa)",https://open.spotify.com/track/42EMFjvFtOki8MA0JNZqVK,1,,0.6
"NF, Andreas Moss - Lost In The Moment",Arijit Singh;Asees Kaur - Bandeya Rey Bandeya,https://open.spotify.com/track/69EBg5Kl8SwvDfxFQ1aPNY,0,The Weeknd - Snowchild,https://open.spotify.com/track/3WlbeuhfRSqU7ylK2Ui5U7,1,SABAI;Hoang;Claire Ridgely - Million Days,https://open.spotify.com/track/0DzPnTBSmVRKBQAmH3EomR,1,"Flume, kai - Never Be Like You (feat. Kai)",https://open.spotify.com/track/14gdERIqymApVn9vcsbmZ3,1,Post Malone - Broken Whiskey Glass,https://open.spotify.com/track/5BoOzegGrg5XFRR8UBDtkF,0,,0.6
AJR - Burn The House Down,Conan Gray - Crush Culture,https://open.spotify.com/track/2sHwSBNDZN2yjCtgwStYt1,1,"Sean Kingston, Chris Brown, Wiz Khalifa - Beat It (feat. Chris Brown & Wiz Khalifa)",https://open.spotify.com/track/3bwCMbwDZVtvJDnUTQIdCX,0,Louis Tomlinson - Miss You,https://open.spotify.com/track/3zxrecYFao03IrrcyFiaMU,1,John Mayer - Waiting On the World to Change,https://open.spotify.com/track/5imShWWzwqfAJ9gXFpGAQh,1,ENHYPEN - Not for Sale,https://open.spotify.com/track/3dG1jxbfBIZvzyFwAcsmS0,0,,0.6
"Daft Punk, Paul Williams - Touch (feat. Paul Williams)",Erykah Badu - Orange Moon,https://open.spotify.com/track/5dlfvkyZOuBCFP1KbzRHUx,1,Jagjit Singh - Koi Fariyaad,https://open.spotify.com/track/2AeMA6k7ocfbYDZqq8NdV7,0,Garmarna - Herr Mannelig,https://open.spotify.com/track/2Vn64pgbiFjMdqkCf2dvLK,0,Neutral Milk Hotel - Oh Comely,https://open.spotify.com/track/41WcmdweTbIJAc8tiOR6xw,1,King Crimson - Epitaph,https://open.spotify.com/track/5j4fSU12bw4G6JDVPU7JTB,1,,0.6
