Song Metadata ,Model Rec 1,Song URL,Annotation ,Model Rec 2,Song URL,Annotation ,Model Rec 3,Song URL,Annotation ,Model Rec 4,Song URL,Annotation ,Model Rec 5,Song URL,Annotation ,,% Liked Per Song
MODEL 1: KNN,,,,,,,,,,,,,,,,,
57-karol g- ay dÌos m„o,Olivia Rodrigo - good 4 u,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,1,"Maluma, Myke Towers - Madrid",https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H,1,"DJ Snake, J Balvin, Tyga - Loco Contigo (feat. J. Balvin & Tyga)",https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,1,"Rauw Alejandro, Anuel AA - Reloj",https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,1,"Anuel AA, Bad Bunny - Hasta Que Dios Diga",https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1,1,,1
58- Karol g- bichota,Lil Nas X - HOLIDAY,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli,0,Twenty One Pilots - Stressed Out,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,1,Jonas Brothers - Sucker,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,1,Lil Nas X;Jack Harlow - INDUSTRY BABY (feat. Jack Harlow),https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,0,"Jawsh 685, Jason Derulo - Savage Love (Laxed - Siren Beat)",https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,1,,0.6
99-maroon 5- memories,Sam Fischer - This City,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt,1,XXXTENTACION - changes,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,0,Omar Apollo - Evergreen (You Didn‚Äôt Deserve Me At All),https://open.spotify.com/track/2TktkzfozZifbQhXjT6I33,0,Sasha Sloan - Dancing With Your Ghost,https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ,0,Glass Animals - Heat Waves,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,1,,0.4
129- Karol g- tuna,Rels B - A M√≠,https://open.spotify.com/track/7MmrcXVA7A5zZ2CbDuGHNa,1,"NLE Choppa, Roddy Ricch - Walk Em Down (feat. Roddy Ricch)",https://open.spotify.com/track/1Z0cZI0UzNbP9L8MzzGxqf,1,"ROSAL√çA, Ozuna - Yo x Ti, Tu x Mi",https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,1,"Lil Baby, 42 Dugg - We Paid (feat. 42 Dugg)",https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,0,"Tainy, J Balvin - Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",https://open.spotify.com/track/7CtbxAGq2P0jtYh6SH9DMR,1,,0.8
356-becky g- familiar,Charlie Puth - Attention,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50,1,Doja Cat - Woman,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,1,Justin Quiles - Jeans,https://open.spotify.com/track/78dzBjk47wuaraNVpVJ9QB,1,Wisin & Yandel;ROSAL√çA - Besos Moja2,https://open.spotify.com/track/6OzUIp8KjuwxJnCWkXp1uL,1,WILLOW - Wait a Minute!,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh,0,,0.8
5104-chance the rapper- no problem,Jamiroquai - Canned Heat,https://open.spotify.com/track/47oS7xB31QQUyPCgHpM3VZ,0,SEKAI NO OWARI - Habit,https://open.spotify.com/track/2uMNMcjjUz8oNIxjIu20qE,0,The Notorious B.I.G. - Notorious Thugs - 2014 Remaster,https://open.spotify.com/track/19FsxX4RthRMZGfXkImdCb,1,BTS;Halsey - Boy With Luv (Feat. Halsey),https://open.spotify.com/track/4a9tbd947vo9K8Vti9JwcI,0,AC/DC - Dirty Deeds Done Dirt Cheap,https://open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT,0,,0.2
9609-future - life is good,Russ Millions - Keisha & Becky - Remix,https://open.spotify.com/track/5RbwVW2cundqz0NfJoWRrc,1,"Diddy, The Notorious B.I.G., JAY-Z - Young G's (feat. The Notorious B.I.G. & Jay-Z)",https://open.spotify.com/track/6f5v97tE0chCujkEKJ3Th6,0,"Drake, 2 Chainz, Young Thug - Sacrifices",https://open.spotify.com/track/0xl1w2q4VLojeXp4JfazPL,1,"Gunna, Young Thug - 3 Headed Snake (feat. Young Thug)",https://open.spotify.com/track/2OaKHGvIxoOzIYjyMsxcT8,0,"JayDaYoungan, Yungeen Ace - Opps",https://open.spotify.com/track/5Jdob8VuV2VzvOx1IUn5jm,1,,0.6
12845- bad bunny- mia,mike. - 2 birds,https://open.spotify.com/track/7kjjpSYKszLz8TwQXEnqlx,1,Farasat Anees;Slick Trick;Toshi - BIBA,https://open.spotify.com/track/1scmFZtdSlOG7YXgM5NJ0j,1,Bryson Tiller - Canceled,https://open.spotify.com/track/3TOfcOKNuu6ZPZXJie5msH,0,AP Dhillon;Gurinder Gill;Money Musik - Saada Pyaar,https://open.spotify.com/track/5gSVKG0R4xc8qtDIoyDNy8,0,"Doobie, Caskey - Icy Titties",https://open.spotify.com/track/4MBxX1P21a0yEZJEHA7zw1,0,,0.4
19343- Young dolph- 100 shots,NF - Notepad,https://open.spotify.com/track/2QpFbRlnBo2TRhy5FyldSD,0,Lil Wyte - Oxy Cotton,https://open.spotify.com/track/5PtMwNq8Dp31uYdGGacVJE,0,"Carnage, Migos - Bricks",https://open.spotify.com/track/76OSY26fhv9aJ0WZTezF34,1,Yung Bleu - Miss It,https://open.spotify.com/track/5WPXnJulBVflChZ8qIe91d,1,"Rich Gang, Lil Wayne, Birdman, Mack Maine, Nicki Minaj, Future - Tapout",https://open.spotify.com/track/7A8d6xGJy2DpNqO2b9DrJu,1,,0.6
